Location ID,Depth Top,Depth Base,Geology Code
HA12-1,0.0,9.0,FILL
,9.0,26.0,MARINE CLAY DEPOSITS
,26.0,60.0,GLACIOFLUVIAL (SAND) DEPOSITS
,60.0,90.5,GLACIAL TILL
,90.5,106.0,BEDROCK
HA12-1A,0.0,12.0,FILL
,12.0,24.0,MARINE CLAY DEPOSITS
,24.0,64.0,GLACIOFLUVIAL (SAND) DEPOSITS
,64.0,90.7,GLACIAL TILL
,90.7,94.0,BEDROCK
HA12-3,0.0,14.0,FILL
,14.0,26.0,MARINE CLAY DEPOSITS
,26.0,50.0,GLACIOFLUVIAL (SAND) DEPOSITS
,50.0,87.0,GLACIAL TILL
,87.0,94.0,BEDROCK
HA12-4,0.0,7.5,FILL
,7.5,29.0,MARINE CLAY DEPOSITS
,29.0,50.0,GLACIOFLUVIAL (SAND) DEPOSITS
,50.0,83.0,GLACIAL TILL
,83.0,100.5,BEDROCK
HA12-5,0.0,9.0,FILL
,9.0,14.0,ORGANIC DEPOSITS
,14.0,38.0,MARINE CLAY DEPOSITS
,38.0,65.5,GLACIOFLUVIAL (SAND) DEPOSITS
,65.5,89.0,GLACIAL TILL
,89.0,92.5,BEDROCK
,0.0,10.0,FILL
HA12-6,0.0,4.5,FILL
,4.5,23.0,MARINE CLAY DEPOSITS
,23.0,60.0,GLACIOFLUVIAL (SAND) DEPOSITS
,60.0,92.0,GLACIAL TILL
,92.0,99.0,BEDROCK
HA12-9A,0.0,13.0,FILL
,13.0,22.0,ORGANIC DEPOSITS
,22.0,34.0,MARINE CLAY DEPOSITS
,34.0,61.0,GLACIOFLUVIAL (SAND) DEPOSITS
,61.0,87.5,GLACIAL TILL
,87.5,94.0,BEDROCK
HA12-12,0.0,20.0,FILL
,20.0,38.0,MARINE CLAY DEPOSITS
,38.0,53.0,GLACIOFLUVIAL (SAND) DEPOSITS
,53.0,88.0,GLACIAL TILL
,88.0,94.1,BEDROCK
HA12-13,0.0,11.5,FILL
,11.5,14.0,MARINE CLAY DEPOSITS
,14.0,59.0,GLACIOFLUVIAL (SAND) DEPOSITS
,59.0,80.0,GLACIAL TILL
,80.0,99.0,BEDROCK
HA12-13A,0.0,62.0,FILL
,62.0,85.0,GLACIAL TILL
