Location ID,Depth Top,Depth Base,Geology Code,Location Code
HA12-1,0.0,9.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1,9.0,26.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1,26.0,60.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1,60.0,90.5,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1,90.5,106,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1A,0.0,12.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1A,12.0,24.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1A,24.0,64.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1A,64.0,90.7,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-1A,90.7,94,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-3,0.0,14.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-3,14.0,26.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-3,26.0,50.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-3,50.0,87.0,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-3,87.0,94,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-4,0.0,7.5,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-4,7.5,29.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-4,29.0,50.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-4,50.0,83.0,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-4,83.0,100.5,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-5,0.0,9.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-5,9.0,14.0,ORGANIC DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-5,14.0,38.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-5,38.0,65.5,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-5,65.5,89.0,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-5,89.0,92.5,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-5A,0.0,10,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-6,0.0,4.5,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-6,4.5,23.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-6,23.0,60.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-6,60.0,92.0,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-6,92.0,99,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-9A,0.0,13.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-9A,13.0,22.0,ORGANIC DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-9A,22.0,34.0,MARINE SAND DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-9A,34.0,61.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-9A,61.0,87.5,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-9A,87.5,94,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-12,0.0,20.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-12,20.0,38.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-12,38.0,53.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-12,53.0,88.0,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-12,88.0,94.1,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13,0.0,11.5,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13,11.5,14.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13,14.0,59.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13,59.0,80.0,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13,80.0,99,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13A,0.0,11.5,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13A,11.5,14.0, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13A,14.0,62.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13A,62.0,85.0,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-13A,85.0,102,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-14,0.0,3.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-14,3.0,27.5, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-14,27.5,57.5,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-14,57.5,79.0,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-14,79.0,86,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-16,0.0,24.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-16,24.0,55.0,GLACIOFLUVIAL (SAND) DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-16,55.0,82.5,GLACIAL TILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA12-16,82.5,101,BEDROCK,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA13-1,0.0,3.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA13-1,3.0,10, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA13-2,0.0,2.5,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA13-2,2.5,10, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B101,0.0,8.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B101,8.0,10.0,ORGANIC DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B101,10.0,12, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B102,0.0,9.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
HA-B102,9.0,12, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-1,0.0,10.0,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-1,10.0,15.5,ORGANIC DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-1,15.5,27, MARINE CLAY DEPOSITS,2013-0228-HAI-BBF-GeotechRpt-F.pdf
UST-2,0.0,17.4,FILL,2013-0228-HAI-BBF-GeotechRpt-F.pdf
